#,RefDes,Name,Value,Manufacturer,Quantity,Pattern
1,"C1, C4, C5",CAP_0603,0.1uF/0603,,3,CAP_0603
2,"C2, C3",CAP_0805,1uF/0805,,2,CAP_0805
3,C6,CAP_1210,10uF/50V,,1,CAP_1210
4,J1,BU2032SM-JJ-GTR,,MPD,1,BU2032SM-JJ-GTR
5,J2,B2B-PH-K-S,53375-02,JST,1,HDR-1x2T/2/Sh6x5
6,J3,B4B-PH-K-S,53375-04,JST,1,HDR-1x4T/2/Sh10x5
7,LS1,AT-1224-TWT-R,,,1,PB-1220PQ
8,Q1,2N7002K,,Philips-NXP,1,SOT23
9,"R1, R2, R3, R11",RES_0603,10K,,4,RES_0603
10,R6,RES_0603,0,,1,RES_0603
12,U2,DS1338C-18,,Maxim,1,SOIC-16/300mil
,,,,,18,
